Entity,Code,Year,Fossil fuels (TWh)
South Africa,ZAF,1998,11.009.786
South Korea,KOR,1998,16.813.728
Spain,ESP,1998,11.240.068
Sri Lanka,LKA,1998,3.557.915
Sweden,SWE,1998,27.073.907
Switzerland,CHE,1998,18.332.346
Taiwan,TWN,1998,791.162
Thailand,THA,1998,6.588.718
Trinidad and Tobago,TTO,1998,10.223.357
Turkey,TUR,1998,70.556.946
Ukraine,UKR,1998,13.446.133
United Arab Emirates,ARE,1998,53.411.285
United Kingdom,GBR,1998,2.349.669
United States,USA,1998,22302.24
Uzbekistan,UZB,1998,50.098.325
Venezuela,VEN,1998,6.234.525
Vietnam,VNM,1998,14.880.237
World,OWID_WRL,1998,90444.78
Algeria,DZA,1999,31.083.392
Argentina,ARG,1999,61.154.626
Australia,AUS,1999,12.453.375
Austria,AUT,1999,26.414.883
Azerbaijan,AZE,1999,1.216.434
Bangladesh,BGD,1999,124.522.194
Belarus,BLR,1999,24.736.047
Belgium,BEL,1999,58.842.444
Brazil,BRA,1999,12.699.172
Bulgaria,BGR,1999,16.198.746
Canada,CAN,1999,2.293.156
Chile,CHL,1999,2.483.395
China,CHN,1999,10.752.908
Colombia,COL,1999,22.112.247
Croatia,HRV,1999,8.041.928
Cyprus,CYP,1999,28.880.678
Czechia,CZE,1999,40.344.437
Denmark,DNK,1999,23.278.914
Ecuador,ECU,1999,8.900.921
Egypt,EGY,1999,49.710.986
Estonia,EST,1999,53.683.647
Finland,FIN,1999,22.732.434
France,FRA,1999,17.228.291
Germany,DEU,1999,3392.88
Greece,GRC,1999,34.064.413
Hong Kong,HKG,1999,18.862.175
Hungary,HUN,1999,24.790.521
Iceland,ISL,1999,10.212.201
India,IND,1999,32.604.866
Indonesia,IDN,1999,1045.11
Iran,IRN,1999,1.316.257
Iraq,IRQ,1999,21.338.708
Ireland,IRL,1999,16.272.952
Israel,ISR,1999,241.175
Italy,ITA,1999,19.199.059
Japan,JPN,1999,4.976.206
Kazakhstan,KAZ,1999,38.882.855
Kuwait,KWT,1999,1.982.651
Latvia,LVA,1999,30.435.944
Lithuania,LTU,1999,5.906.796
Luxembourg,LUX,1999,34.494.907
